date,year,doy,tree_type,site,plot,plottag,species,dbh,kgc,basal_area
1998-07-22,1998,203,live,ems,C1,C1-356,ro,34.99,374.54,961.56
1998-07-22,1998,203,live,ems,C1,C1-362,ro,40.38,527.48,1280.63
1998-07-22,1998,203,live,ems,C1,C1-366,ro,34,349.71,907.92
1998-07-22,1998,203,live,ems,C2,C2-380,rm,20.36,84.84,325.57
1998-07-22,1998,203,live,ems,C2,C2-386,ro,38.25,463.4,1149.09
1998-07-22,1998,203,live,ems,D1,D1-529,rm,22.17,103.46,386.03
1998-07-22,1998,203,live,ems,D1,D1-544,ro,30.17,262.82,714.89
1998-07-22,1998,203,live,ems,D2,D2-288,hem,14.09,20.95,155.92
1998-07-22,1998,203,live,ems,D2,D2-583,rm,20.52,86.4,330.71
1998-07-22,1998,203,live,ems,E1,E1-677,hem,24.67,81.95,478
1998-07-22,1998,203,live,ems,E1,E1-678,hem,14.79,23.57,171.8
1998-07-22,1998,203,live,ems,E5,E5-876,hem,30.69,139.68,739.75
1998-07-22,1998,203,live,ems,E5,E5-880,ro,32.03,303.22,805.76
1998-07-22,1998,203,live,ems,E5,E5-889,hem,24.44,80.1,469.13
1998-07-22,1998,203,live,ems,E5,E5-892,rm,19.52,76.9,299.26
1998-07-22,1998,203,live,ems,E5,E5-893,hem,23.17,70.32,421.64
1998-07-22,1998,203,live,ems,E5,E5-895,rm,20.76,88.77,338.49
1998-07-22,1998,203,live,ems,E5,E5-903,ro,25.52,176.16,511.51
1998-07-22,1998,203,live,ems,E5,E5-905,hem,19.81,48,308.22
1998-07-22,1998,203,live,ems,F1,F1-933,rm,17.77,61.79,248.01
1998-07-22,1998,203,live,ems,G1,G1-153,rm,12.17,25.58,116.32
1998-07-22,1998,203,live,ems,G1,G1-165,rm,14.12,36.16,156.59
1998-07-22,1998,203,live,ems,G1,G1-175,ro,26.34,190,544.91
1998-07-22,1998,203,live,ems,G1,G1-176,rm,14.37,37.67,162.18
1998-07-22,1998,203,live,ems,H1,H1-302,ro,36.89,424.99,1068.83
1998-07-22,1998,203,live,ems,H1,H1-309,ro,33.97,348.97,906.32
1998-07-22,1998,203,live,ems,H1,H1-318,rm,20.52,86.4,330.71
1998-07-28,1998,209,live,ems,C1,C1-217,hem,27.58,107.59,597.42
1998-07-28,1998,209,live,ems,C1,C1-351,hem,19.2,44.48,289.53
1998-07-28,1998,209,live,ems,C1,C1-356,ro,34.99,374.54,961.56
1998-07-28,1998,209,live,ems,C1,C1-362,ro,40.37,527.17,1279.99
1998-07-28,1998,209,live,ems,C1,C1-366,ro,34,349.71,907.92
1998-07-28,1998,209,live,ems,C2,C2-380,rm,20.36,84.84,325.57
1998-07-28,1998,209,live,ems,C2,C2-386,ro,38.25,463.4,1149.09
1998-07-28,1998,209,live,ems,D1,D1-529,rm,22.17,103.46,386.03
1998-07-28,1998,209,live,ems,D1,D1-544,ro,30.18,263.03,715.37
1998-07-28,1998,209,live,ems,D2,D2-288,hem,14.1,20.99,156.15
1998-07-28,1998,209,live,ems,D2,D2-583,rm,20.52,86.4,330.71
1998-07-28,1998,209,live,ems,E1,E1-677,hem,24.67,81.95,478
1998-07-28,1998,209,live,ems,E1,E1-678,hem,14.79,23.57,171.8
1998-07-28,1998,209,live,ems,E5,E5-876,hem,30.7,139.8,740.23
1998-07-28,1998,209,live,ems,E5,E5-880,ro,32.04,303.44,806.26
1998-07-28,1998,209,live,ems,E5,E5-889,hem,24.44,80.1,469.13
1998-07-28,1998,209,live,ems,E5,E5-892,rm,19.52,76.9,299.26
1998-07-28,1998,209,live,ems,E5,E5-893,hem,23.18,70.4,422
1998-07-28,1998,209,live,ems,E5,E5-895,rm,20.76,88.77,338.49
1998-07-28,1998,209,live,ems,E5,E5-903,ro,25.53,176.33,511.91
1998-07-28,1998,209,live,ems,E5,E5-905,hem,19.81,48,308.22
1998-07-28,1998,209,live,ems,F1,F1-933,rm,17.77,61.79,248.01
1998-07-28,1998,209,live,ems,G1,G1-153,rm,12.18,25.63,116.52
1998-07-28,1998,209,live,ems,G1,G1-165,rm,14.12,36.16,156.59
1998-07-28,1998,209,live,ems,G1,G1-175,ro,26.36,190.34,545.73
1998-07-28,1998,209,live,ems,G1,G1-176,rm,14.38,37.73,162.41
1998-07-28,1998,209,live,ems,H1,H1-302,ro,36.89,424.99,1068.83
1998-07-28,1998,209,live,ems,H1,H1-309,ro,33.97,348.97,906.32
1998-07-28,1998,209,live,ems,H1,H1-318,rm,20.52,86.4,330.71
1998-08-04,1998,216,live,ems,C1,C1-217,hem,27.58,107.59,597.42
1998-08-04,1998,216,live,ems,C1,C1-351,hem,19.2,44.48,289.53
1998-08-04,1998,216,live,ems,C1,C1-356,ro,34.99,374.54,961.56
1998-08-04,1998,216,live,ems,C1,C1-362,ro,40.38,527.48,1280.63
1998-08-04,1998,216,live,ems,C1,C1-366,ro,34,349.71,907.92
1998-08-04,1998,216,live,ems,C2,C2-380,rm,20.36,84.84,325.57
